arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,76,frequent,259.0,27,1,321.2,142.2,281,398,275.8,241.3
trace,exposure,77,frequent,283.9,93,1,197.6,145.1,448,279,271.9,236.5
trace,exposure,78,frequent,262.5,19,1,397.9,320.2,207,140,278.2,240.6
trace,exposure,79,frequent,251.5,81,1,153.5,384.1,405,380,272.0,247.8
trace,exposure,80,frequent,282.6,25,1,155.8,148.7,360,344,266.2,242.9
trace,exposure,81,frequent,252.6,25,1,368.4,157.0,178,323,271.3,238.6
trace,exposure,82,frequent,261.6,22,1,165.6,158.6,347,347,266.0,234.6
trace,exposure,83,frequent,107.2,6,1,207.9,258.4,281,180,263.1,235.8
trace,exposure,84,frequent,311.3,33,1,387.5,358.8,167,139,269.3,241.9
trace,exposure,85,frequent,262.3,34,1,329.2,163.1,344,425,272.3,238.0
trace,exposure,86,frequent,290.8,28,1,352.3,140.4,363,431,276.3,233.1
trace,exposure,87,frequent,13.8,1,1,283.4,297.9,273,307,276.7,236.3
trace,exposure,88,rare,284.3,86,1,228.8,632.2,397,403,274.3,256.1
trace,exposure,89,frequent,335.5,41,1,264.0,173.2,297,507,273.8,252.0
trace,exposure,90,frequent,274.4,76,1,172.9,238.5,424,349,268.7,251.3
trace,exposure,91,rare,269.7,21,1,167.5,517.2,383,355,263.6,264.6
trace,exposure,92,rare,298.6,84,1,235.2,652.8,276,357,262.2,284.0
trace,exposure,93,rare,324.1,30,1,598.3,563.3,295,449,279.0,298.0
trace,exposure,94,frequent,282.9,26,1,245.7,221.3,513,314,277.4,294.1
trace,exposure,95,frequent,255.3,169,1,392.3,166.1,168,288,283.1,287.7
trace,exposure,96,frequent,330.7,116,1,151.4,204.6,373,450,276.5,283.6
trace,exposure,97,frequent,46.6,2,1,249.2,282.0,237,237,275.2,283.5
trace,exposure,98,frequent,73.4,5,1,268.3,252.7,286,324,274.8,282.0
trace,exposure,99,frequent,315.7,32,1,197.1,153.8,350,430,270.9,275.6
trace,exposure,100,frequent,80.3,4,1,378.5,208.4,327,270,276.3,272.2
trace,exposure,101,frequent,252.0,20,1,155.1,200.3,368,335,270.2,268.6
trace,exposure,102,frequent,274.0,47,1,174.3,143.9,356,349,265.5,262.4
trace,exposure,103,rare,379.9,38,1,634.5,184.5,255,202,283.9,258.5
trace,exposure,104,frequent,252.3,23,1,281.1,227.8,521,306,283.8,256.9
trace,exposure,105,frequent,267.5,31,1,374.0,367.9,212,155,288.3,262.5
trace,exposure,106,frequent,284.8,50,1,171.4,208.5,384,398,282.4,259.8
trace,exposure,107,frequent,258.7,24,1,397.4,174.4,243,382,288.2,255.5
trace,exposure,108,rare,484.3,74,1,617.7,610.2,278,265,304.7,273.3
trace,exposure,109,frequent,257.3,22,1,244.6,284.8,470,409,301.7,273.8
trace,exposure,110,rare,330.2,53,1,607.1,447.6,277,440,316.9,282.5
trace,exposure,111,frequent,256.9,27,1,215.2,264.0,444,381,311.8,281.6
trace,exposure,112,frequent,260.0,54,1,146.7,192.8,361,340,303.6,277.2
trace,exposure,113,rare,279.3,36,1,507.3,579.3,327,366,313.8,292.3
trace,exposure,114,frequent,295.1,27,1,252.4,208.4,363,482,310.7,288.1
trace,exposure,115,rare,508.7,51,1,656.4,520.4,282,176,328.0,299.7
trace,exposure,116,frequent,280.1,52,1,232.0,160.6,458,326,323.2,292.7
trace,exposure,117,rare,345.9,64,1,596.3,158.5,362,413,336.8,286.0
trace,exposure,118,frequent,371.3,118,1,142.1,175.6,390,452,327.1,280.5
trace,exposure,119,frequent,109.2,7,1,185.0,334.2,242,241,320.0,283.2
trace,test,0,rare,343.3,29,1,575.7,141.7,292,335,332.8,276.1
trace,test,1,rare,314.4,28,1,187.1,519.4,435,326,325.5,288.3
trace,test,2,rare,288.8,26,1,642.2,538.7,390,398,341.3,300.8
trace,test,3,rare,269.4,22,1,167.7,507.1,402,374,332.7,311.1
trace,test,4,rare,270.6,26,1,237.9,599.5,272,331,327.9,325.5
trace,test,5,rare,256.9,19,1,502.7,277.6,336,473,336.7,323.1
trace,test,6,rare,264.2,20,1,321.4,473.7,537,321,335.9,330.7
trace,test,7,rare,271.8,21,1,572.5,159.1,410,377,347.7,322.1
trace,test,8,rare,275.6,43,1,553.0,187.2,398,415,358.0,315.3
trace,test,9,frequent,299.3,29,1,383.2,156.4,403,455,359.2,307.4
trace,test,10,rare,261.1,23,1,157.6,504.7,276,272,349.2,317.2
trace,test,11,frequent,332.3,34,1,236.8,151.3,367,457,343.5,309.0
trace,test,12,rare,266.7,27,1,560.8,377.4,298,332,354.4,312.4
trace,test,13,rare,259.9,24,1,347.7,573.7,438,330,354.1,325.4
trace,test,14,rare,255.0,67,1,154.8,406.3,408,437,344.1,329.5
trace,test,15,rare,344.2,124,1,619.6,601.0,371,363,357.9,343.1
trace,test,16,rare,374.5,35,1,531.0,207.5,410,562,366.5,336.3
trace,test,17,rare,365.2,28,1,313.2,639.2,535,349,363.9,351.4
trace,test,18,rare,473.4,88,1,644.6,300.8,266,585,377.9,348.9
trace,test,19,frequent,349.0,27,1,140.4,216.7,400,450,366.0,342.3
trace,test,20,rare,263.7,18,1,599.1,296.7,404,474,377.7,340.0
trace,test,21,frequent,371.3,38,1,181.8,262.8,553,271,367.9,336.1
trace,test,22,rare,303.8,29,1,579.7,334.6,278,299,378.5,336.1
trace,test,23,rare,316.1,65,1,503.4,614.7,464,301,384.7,350.0
trace,test,24,frequent,336.9,24,1,189.8,206.8,422,451,375.0,342.8
trace,test,25,rare,279.1,27,1,542.1,607.0,403,365,383.3,356.0
trace,test,26,frequent,328.6,31,1,177.3,393.9,502,344,373.0,357.9
trace,test,27,rare,264.6,29,1,615.6,475.7,351,474,385.2,363.8
trace,test,28,frequent,375.0,37,1,211.8,237.7,539,421,376.5,357.5
trace,test,29,rare,372.8,41,1,316.6,480.1,164,140,373.5,363.7
trace,test,30,rare,288.2,196,1,158.1,638.4,389,466,362.7,377.4
trace,test,31,frequent,280.1,26,1,381.8,183.0,334,459,363.7,367.7
trace,test,32,frequent,358.6,35,1,146.4,305.9,497,381,352.8,364.6
trace,test,33,rare,322.3,34,1,639.2,348.9,330,440,367.1,363.8
trace,test,34,rare,271.3,181,1,548.5,650.0,448,398,376.2,378.1
trace,test,35,rare,250.6,28,1,416.5,339.4,502,575,378.2,376.2
trace,test,36,rare,296.8,39,1,490.9,218.2,365,487,383.8,368.3
trace,test,37,rare,372.3,29,1,315.3,625.8,544,332,380.4,381.1
trace,test,38,rare,356.9,30,1,446.9,242.8,257,545,383.7,374.2
trace,test,39,frequent,263.9,54,1,376.6,165.2,401,428,383.4,363.8
trace,test,40,frequent,282.3,32,1,286.5,203.2,392,465,378.5,355.8
trace,test,41,rare,296.7,32,1,602.4,496.9,307,469,389.7,362.8
trace,test,42,rare,284.5,21,1,294.0,566.0,472,344,384.9,373.0
trace,test,43,rare,265.7,22,1,422.2,232.9,281,458,386.8,366.0
trace,test,44,rare,332.1,53,1,159.0,524.1,443,352,375.4,373.9
trace,test,45,frequent,274.2,22,1,269.3,183.7,410,419,370.1,364.4
trace,test,46,rare,294.2,29,1,282.8,645.4,375,366,365.8,378.4
trace,test,47,rare,327.1,33,1,498.3,266.9,230,454,372.4,372.8
trace,test,48,rare,312.0,26,1,569.3,574.2,322,384,382.2,382.9
trace,test,49,rare,270.2,93,1,649.7,181.0,493,401,395.6,372.8
trace,test,50,frequent,281.7,89,1,359.7,151.6,409,429,393.8,361.8
trace,test,51,rare,301.3,28,1,634.2,273.6,412,477,405.8,357.3
trace,test,52,frequent,479.4,48,1,200.5,239.7,641,429,395.6,351.5
trace,test,53,rare,322.2,31,1,407.3,584.2,276,290,396.1,363.1
trace,test,54,frequent,314.4,30,1,351.7,149.7,342,464,393.9,352.4
trace,test,55,frequent,309.9,23,1,255.1,149.4,444,395,387.0,342.3
trace,test,56,rare,257.3,24,1,342.3,623.5,401,373,384.7,356.3
trace,test,57,rare,310.0,82,1,156.8,583.2,377,365,373.4,367.7
trace,test,58,rare,294.3,31,1,643.2,468.3,349,474,386.8,372.7
trace,test,59,rare,331.2,26,1,247.9,652.1,508,447,379.9,386.7
trace,test,60,frequent,294.7,29,1,332.0,291.7,258,577,377.5,381.9
trace,test,61,rare,322.4,232,1,152.2,646.1,394,433,366.2,395.1
trace,test,62,rare,372.4,27,1,581.8,190.4,326,461,377.0,384.9
trace,test,63,rare,394.5,47,1,253.5,655.9,452,315,370.8,398.5
trace,test,64,rare,299.9,28,1,639.3,536.1,357,435,384.3,405.3
