arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,exposure,77,frequent,278.7,27,1,174.3,345.2,452,322,290.1,273.5
trace,exposure,78,frequent,262.6,39,1,396.5,157.2,244,371,295.4,267.7
trace,exposure,79,rare,290.3,28,1,352.9,615.5,420,333,298.3,285.1
trace,exposure,80,frequent,194.7,177,1,266.3,145.2,350,321,296.7,278.1
trace,exposure,81,rare,537.3,121,1,590.9,608.3,144,310,311.4,294.6
trace,exposure,82,frequent,280.8,37,1,234.5,310.9,509,370,307.5,295.4
trace,exposure,83,frequent,272.0,24,1,385.2,328.3,128,240,311.4,297.1
trace,exposure,84,frequent,303.2,34,1,177.5,185.5,347,437,304.7,291.5
trace,exposure,85,rare,255.4,21,1,495.0,640.9,354,428,314.2,309.0
trace,exposure,86,rare,348.4,36,1,627.2,328.8,285,394,329.9,309.9
trace,exposure,87,rare,284.3,72,1,590.8,586.0,465,331,342.9,323.7
trace,exposure,88,frequent,263.7,35,1,163.5,353.9,424,313,334.0,325.3
trace,exposure,89,frequent,326.2,30,1,245.6,148.8,378,447,329.5,316.4
trace,exposure,90,rare,355.2,36,1,568.1,629.1,363,339,341.5,332.1
trace,exposure,91,frequent,267.4,43,1,164.8,155.3,320,373,332.6,323.2
trace,exposure,92,frequent,54.3,3,1,379.3,322.1,364,270,335.0,323.2
trace,exposure,93,frequent,266.9,31,1,396.6,168.7,267,402,338.1,315.4
trace,exposure,94,frequent,271.5,24,1,232.2,152.4,445,321,332.8,307.3
trace,exposure,95,frequent,256.2,63,1,172.4,217.5,384,362,324.7,302.8
trace,exposure,96,rare,273.3,28,1,375.6,651.1,323,383,327.3,320.2
trace,exposure,97,rare,365.4,36,1,654.3,434.1,290,463,343.6,325.9
trace,exposure,98,rare,263.6,19,1,288.0,548.1,451,341,340.9,337.0
trace,exposure,99,rare,273.8,26,1,567.9,327.9,298,374,352.2,336.6
trace,exposure,100,frequent,310.7,36,1,161.3,156.2,408,345,342.7,327.5
trace,exposure,101,rare,262.2,26,1,368.8,624.1,373,362,344.0,342.4
trace,exposure,102,frequent,261.3,58,1,177.5,173.1,359,361,335.6,333.9
trace,exposure,103,rare,444.7,43,1,588.9,201.4,191,400,348.3,327.3
trace,exposure,104,frequent,266.3,28,1,186.7,144.9,308,382,340.2,318.2
trace,exposure,105,rare,320.9,47,1,267.5,506.9,264,186,336.6,327.6
trace,exposure,106,rare,319.7,65,1,163.4,588.2,397,370,327.9,340.6
trace,exposure,107,frequent,280.5,74,1,206.9,169.8,370,398,321.9,332.1
trace,exposure,108,frequent,250.6,26,1,224.6,147.1,290,389,317.0,322.8
trace,exposure,109,frequent,325.9,134,1,171.5,192.7,467,330,309.7,316.3
trace,exposure,110,rare,424.3,61,1,261.5,600.8,382,194,307.3,330.6
trace,exposure,111,frequent,272.9,114,1,160.2,148.0,349,345,300.0,321.4
trace,exposure,112,rare,270.1,30,1,489.2,489.6,272,329,309.4,329.8
trace,exposure,113,frequent,270.1,26,1,233.1,186.1,325,440,305.6,322.6
trace,exposure,114,rare,254.5,25,1,502.5,144.4,253,195,315.5,313.7
trace,exposure,115,frequent,294.8,186,1,197.6,145.1,428,329,309.6,305.3
trace,exposure,116,frequent,254.5,22,1,234.4,213.0,364,432,305.8,300.7
trace,exposure,117,rare,267.1,21,1,507.6,248.7,281,390,315.9,298.1
trace,exposure,118,frequent,344.2,142,1,157.0,173.3,463,331,308.0,291.9
trace,exposure,119,frequent,300.7,179,1,153.5,384.1,419,243,300.2,296.5
trace,test,0,rare,320.5,379,1,364.9,657.5,339,338,303.5,314.5
trace,test,1,rare,290.6,25,1,534.7,599.6,404,340,315.0,328.8
trace,test,2,rare,308.8,61,1,648.6,360.4,341,388,331.7,330.3
trace,test,3,frequent,257.8,147,1,178.7,270.0,376,436,324.1,327.3
trace,test,4,frequent,295.0,30,1,196.1,263.9,435,437,317.7,324.2
trace,test,5,frequent,254.8,32,1,317.2,168.3,310,423,317.6,316.4
trace,test,6,rare,294.1,23,1,630.6,543.4,410,349,333.3,327.7
trace,test,7,frequent,257.4,25,1,184.5,171.6,367,353,325.8,319.9
trace,test,8,rare,288.4,51,1,580.8,173.8,348,344,338.6,312.6
trace,test,9,rare,434.9,45,1,206.3,617.9,485,284,332.0,327.9
trace,test,10,rare,296.3,80,1,465.6,174.2,268,395,338.7,320.2
trace,test,11,rare,311.8,84,1,189.8,531.0,429,331,331.2,330.7
trace,test,12,rare,296.0,26,1,483.1,145.5,365,417,338.8,321.5
trace,test,13,rare,316.9,26,1,554.5,171.5,383,438,349.6,314.0
trace,test,14,rare,312.6,71,1,639.1,532.3,482,262,364.1,324.9
trace,test,15,rare,326.8,31,1,301.8,600.3,450,309,361.0,338.7
trace,test,16,rare,273.9,87,1,574.3,586.5,399,376,371.6,351.1
trace,test,17,rare,285.9,25,1,244.2,612.4,384,363,365.2,364.1
trace,test,18,rare,297.9,67,1,650.6,451.9,366,364,379.5,368.5
trace,test,19,rare,270.8,23,1,376.2,550.4,497,308,379.4,377.6
trace,test,20,rare,360.1,49,1,635.3,312.4,289,411,392.2,374.3
trace,test,21,rare,346.1,28,1,235.8,654.7,434,371,384.3,388.4
trace,test,22,frequent,315.6,76,1,155.6,199.9,392,409,372.9,378.9
trace,test,23,frequent,349.6,119,1,162.8,155.4,378,431,362.4,367.8
trace,test,24,frequent,290.1,25,1,232.8,151.2,390,395,355.9,356.9
trace,test,25,rare,380.5,83,1,578.3,613.5,318,336,367.0,369.8
trace,test,26,rare,442.3,144,1,150.9,492.3,593,477,356.2,375.9
trace,test,27,rare,298.7,25,1,197.7,626.8,360,376,348.3,388.4
trace,test,28,rare,355.4,94,1,560.9,483.7,239,333,358.9,393.2
trace,test,29,rare,329.6,179,1,629.4,648.1,536,332,372.5,405.9
trace,test,30,rare,338.5,219,1,658.8,598.5,375,414,386.8,415.6
trace,test,31,rare,370.4,27,1,596.8,174.0,334,435,397.3,403.5
trace,test,32,rare,356.4,34,1,215.1,620.6,495,400,388.2,414.3
trace,test,33,rare,284.1,19,1,553.3,239.7,348,436,396.4,405.6
trace,test,34,frequent,302.4,24,1,267.2,164.0,443,410,390.0,393.5
trace,test,35,rare,258.5,74,1,553.7,593.9,391,393,398.2,403.5
trace,test,36,rare,347.9,38,1,582.8,643.6,384,358,407.4,415.5
trace,test,37,rare,381.9,38,1,600.6,248.8,463,605,417.0,407.2
trace,test,38,frequent,347.0,35,1,182.3,384.7,529,400,405.3,406.1
trace,test,39,rare,262.9,25,1,348.5,619.0,420,366,402.5,416.7
trace,test,40,rare,262.5,69,1,443.7,159.0,401,418,404.5,403.8
trace,test,41,frequent,258.1,38,1,254.2,245.6,409,452,397.0,395.9
trace,test,42,rare,270.3,25,1,588.8,345.9,331,427,406.6,393.4
trace,test,43,rare,283.8,21,1,299.1,602.1,492,394,401.2,403.9
trace,test,44,frequent,281.8,71,1,209.9,183.7,327,440,391.7,392.9
trace,test,45,rare,298.9,58,1,621.8,191.2,410,402,403.2,382.8
trace,test,46,frequent,318.2,93,1,177.1,159.9,405,382,391.9,371.6
trace,test,47,rare,370.6,60,1,564.1,495.4,233,329,400.5,377.8
trace,test,48,rare,309.5,26,1,282.7,506.9,538,332,394.6,384.3
trace,test,49,rare,357.6,428,1,659.0,659.2,433,382,407.8,398.0
trace,test,50,rare,266.4,35,1,614.4,144.4,445,350,418.1,385.3
trace,test,51,rare,308.8,28,1,295.7,567.6,493,330,412.0,394.5
trace,test,52,rare,251.1,23,1,237.7,540.5,422,370,403.3,401.8
trace,test,53,rare,301.5,23,1,206.7,630.5,408,406,393.5,413.2
trace,test,54,rare,291.2,29,1,145.0,561.4,395,412,381.1,420.6
trace,test,55,rare,311.6,33,1,573.8,316.7,271,390,390.7,415.4
trace,test,56,rare,288.6,135,1,152.1,548.4,392,388,378.8,422.1
