arm,block,goal_idx,mean_dist_to_quad_center
trace,exposure,56,105.2
trace,exposure,57,163.3
trace,exposure,58,89.6
trace,exposure,59,143.3
trace,exposure,60,265.7
trace,exposure,61,107.2
trace,exposure,62,77.8
trace,exposure,63,76.1
trace,exposure,64,81.6
trace,exposure,65,248.3
trace,exposure,66,69.3
trace,exposure,67,67.2
trace,exposure,68,106.7
trace,exposure,69,61.9
trace,exposure,70,89.1
trace,exposure,71,89.0
trace,exposure,72,153.7
trace,exposure,73,315.7
trace,exposure,74,59.0
trace,exposure,75,183.3
trace,exposure,76,51.0
trace,exposure,77,99.0
trace,exposure,78,252.3
trace,exposure,79,87.3
trace,exposure,80,41.9
trace,exposure,81,126.4
trace,exposure,82,73.3
trace,exposure,83,122.1
trace,exposure,84,122.0
trace,exposure,85,156.1
trace,exposure,86,65.5
trace,exposure,87,211.0
trace,exposure,88,293.0
trace,exposure,89,94.0
trace,exposure,90,66.7
trace,exposure,91,112.4
trace,exposure,92,271.3
trace,exposure,93,87.0
trace,exposure,94,236.6
trace,exposure,95,62.4
trace,exposure,96,84.9
trace,exposure,97,70.3
trace,exposure,98,249.6
trace,exposure,99,241.2
trace,exposure,100,120.0
trace,exposure,101,59.8
trace,exposure,102,213.5
trace,exposure,103,133.1
trace,exposure,104,50.9
trace,exposure,105,103.2
trace,exposure,106,146.9
trace,exposure,107,54.2
trace,exposure,108,316.2
trace,exposure,109,112.5
trace,exposure,110,98.7
trace,exposure,111,59.0
trace,exposure,112,86.7
trace,exposure,113,107.8
trace,exposure,114,37.9
trace,exposure,115,56.4
trace,exposure,116,146.9
trace,exposure,117,90.6
trace,exposure,118,59.9
trace,exposure,119,50.2
trace,test,0,290.7
trace,test,1,54.8
trace,test,2,246.8
trace,test,3,32.5
trace,test,4,146.5
trace,test,5,228.6
trace,test,6,289.2
trace,test,7,141.3
trace,test,8,234.5
trace,test,9,346.9
trace,test,10,301.9
trace,test,11,194.2
trace,test,12,355.3
trace,test,13,158.2
trace,test,14,155.8
trace,test,15,118.6
trace,test,16,194.5
trace,test,17,244.3
trace,test,18,140.3
trace,test,19,151.0
trace,test,20,308.2
trace,test,21,299.0
trace,test,22,107.8
trace,test,23,344.5
trace,test,24,182.3
trace,test,25,141.1
trace,test,26,321.0
trace,test,27,238.1
trace,test,28,262.7
trace,test,29,52.8
trace,test,30,466.9
trace,test,31,208.6
trace,test,32,101.1
trace,test,33,224.4
trace,test,34,112.5
trace,test,35,310.1
trace,test,36,251.6
trace,test,37,130.2
trace,test,38,254.2
