arm,block,goal_idx,region,spawn_dist,steps,reached
trace,test,37,rare,381.9,38,1
trace,test,38,frequent,347.0,35,1
trace,test,39,rare,262.9,25,1
trace,test,40,rare,262.5,69,1
trace,test,41,frequent,258.1,38,1
trace,test,42,rare,270.3,25,1
trace,test,43,rare,283.8,21,1
trace,test,44,frequent,281.8,71,1
trace,test,45,rare,298.9,58,1
trace,test,46,frequent,318.2,93,1
trace,test,47,rare,370.6,60,1
trace,test,48,rare,309.5,26,1
trace,test,49,rare,357.6,428,1
trace,test,50,rare,266.4,35,1
trace,test,51,rare,308.8,28,1
trace,test,52,rare,251.1,23,1
trace,test,53,rare,301.5,23,1
trace,test,54,rare,291.2,29,1
trace,test,55,rare,311.6,33,1
trace,test,56,rare,288.6,135,1
trace,test,57,rare,278.3,21,1
trace,test,58,rare,263.7,85,1
trace,test,59,rare,318.1,92,1
trace,test,60,rare,253.1,22,1
trace,test,61,rare,371.7,36,1
trace,test,62,rare,319.7,27,1
trace,test,63,rare,252.1,24,1
trace,test,64,rare,311.4,27,1
trace,test,65,rare,268.7,26,1
trace,test,66,frequent,321.0,29,1
trace,test,67,rare,321.2,31,1
trace,test,68,rare,257.2,21,1
trace,test,69,rare,259.0,88,1
trace,test,70,rare,367.1,159,1
trace,test,71,rare,308.0,27,1
trace,test,72,frequent,276.1,28,1
trace,test,73,frequent,352.6,31,1
trace,test,74,rare,283.4,25,1
trace,test,75,rare,251.5,19,1
trace,test,76,rare,363.8,33,1
trace,test,77,frequent,289.9,38,1
trace,test,78,rare,354.2,134,1
trace,test,79,frequent,281.3,190,1
trace,exposure,0,frequent,268.9,51,1
trace,exposure,1,frequent,305.1,138,1
trace,exposure,2,frequent,365.5,32,1
trace,exposure,3,rare,327.8,89,1
trace,exposure,4,rare,366.6,413,1
trace,exposure,5,rare,250.5,25,1
trace,exposure,6,rare,279.5,22,1
trace,exposure,7,frequent,309.1,263,1
trace,exposure,8,frequent,271.7,113,1
trace,exposure,9,rare,274.6,38,1
trace,exposure,10,rare,311.1,27,1
trace,exposure,11,frequent,365.1,145,1
trace,exposure,12,frequent,260.8,23,1
trace,exposure,13,frequent,314.2,122,1
trace,exposure,14,frequent,266.9,665,1
trace,exposure,15,frequent,259.3,199,1
trace,exposure,16,frequent,290.1,40,1
trace,exposure,17,rare,337.9,167,1
trace,exposure,18,frequent,321.8,504,1
trace,exposure,19,rare,273.0,24,1
trace,exposure,20,rare,316.2,125,1
trace,exposure,21,frequent,257.0,58,1
trace,exposure,22,rare,316.1,26,1
trace,exposure,23,frequent,355.0,32,1
trace,exposure,24,frequent,287.4,104,1
trace,exposure,25,frequent,255.7,74,1
trace,exposure,26,frequent,269.7,267,1
trace,exposure,27,frequent,260.6,27,1
trace,exposure,28,frequent,95.9,7,1
trace,exposure,29,frequent,176.2,212,1
trace,exposure,30,rare,295.2,29,1
trace,exposure,31,frequent,390.2,36,1
trace,exposure,32,frequent,266.5,113,1
trace,exposure,33,frequent,13.1,1,1
trace,exposure,34,frequent,252.6,151,1
trace,exposure,35,frequent,119.9,8,1
trace,exposure,36,frequent,277.9,42,1
trace,exposure,37,rare,328.4,45,1
trace,exposure,38,frequent,263.8,65,1
trace,exposure,39,frequent,307.9,282,1
trace,exposure,40,frequent,256.0,130,1
trace,exposure,41,frequent,114.4,7,1
trace,exposure,42,rare,368.2,33,1
trace,exposure,43,frequent,258.2,163,1
trace,exposure,44,frequent,263.9,279,1
trace,exposure,45,frequent,252.6,51,1
trace,exposure,46,frequent,273.0,23,1
trace,exposure,47,rare,331.1,33,1
trace,exposure,48,rare,274.6,39,1
trace,exposure,49,frequent,270.1,507,1
trace,exposure,50,rare,264.8,26,1
trace,exposure,51,frequent,125.8,11,1
trace,exposure,52,rare,465.7,424,1
trace,exposure,53,frequent,280.7,160,1
trace,exposure,54,rare,348.6,74,1
trace,exposure,55,frequent,259.8,73,1
trace,exposure,56,frequent,113.4,56,1
trace,exposure,57,rare,286.7,23,1
trace,exposure,58,frequent,264.8,310,1
trace,exposure,59,frequent,269.9,76,1
trace,exposure,60,frequent,255.6,222,1
trace,exposure,61,frequent,85.5,6,1
trace,exposure,62,frequent,273.2,291,1
trace,exposure,63,frequent,263.2,62,1
trace,exposure,64,rare,272.3,43,1
trace,exposure,65,rare,291.2,30,1
trace,exposure,66,frequent,256.7,43,1
trace,exposure,67,rare,415.2,40,1
trace,exposure,68,frequent,266.8,215,1
trace,exposure,69,frequent,62.8,3,1
trace,exposure,70,rare,295.3,112,1
trace,exposure,71,rare,487.0,86,1
trace,exposure,72,rare,280.2,27,1
trace,exposure,73,frequent,274.4,276,1
trace,exposure,74,rare,303.5,118,1
trace,exposure,75,rare,272.8,20,1
trace,exposure,76,frequent,251.4,542,1
trace,exposure,77,frequent,288.2,110,1
trace,exposure,78,frequent,254.2,224,1
trace,exposure,79,frequent,267.7,55,1
trace,exposure,80,frequent,119.2,9,1
trace,exposure,81,frequent,271.1,173,1
trace,exposure,82,frequent,186.2,338,1
trace,exposure,83,frequent,272.8,149,1
trace,exposure,84,frequent,161.1,15,1
trace,exposure,85,rare,323.9,33,1
trace,exposure,86,frequent,310.0,77,1
trace,exposure,87,frequent,120.5,11,1
trace,exposure,88,frequent,255.6,211,1
trace,exposure,89,frequent,157.0,274,1
trace,exposure,90,rare,307.3,94,1
trace,exposure,91,frequent,258.0,26,1
trace,exposure,92,frequent,73.1,5,1
trace,exposure,93,rare,309.0,52,1
trace,exposure,94,frequent,289.3,33,1
trace,exposure,95,frequent,89.1,6,1
trace,exposure,96,rare,289.8,24,1
trace,exposure,97,frequent,256.1,107,1
trace,exposure,98,frequent,81.1,4,1
trace,exposure,99,frequent,267.8,123,1
trace,exposure,100,frequent,118.6,66,1
trace,exposure,101,frequent,297.2,106,1
trace,exposure,102,frequent,113.7,9,1
trace,exposure,103,rare,346.6,29,1
trace,exposure,104,frequent,337.6,44,1
trace,exposure,105,rare,251.8,22,1
trace,exposure,106,frequent,68.5,4,1
trace,exposure,107,frequent,251.0,123,1
trace,exposure,108,frequent,139.8,298,1
trace,exposure,109,rare,310.2,27,1
trace,exposure,110,frequent,256.1,47,1
trace,exposure,111,frequent,113.4,8,1
trace,exposure,112,frequent,76.1,5,1
trace,exposure,113,frequent,273.9,25,1
trace,exposure,114,frequent,95.0,7,1
trace,exposure,115,frequent,128.7,9,1
trace,exposure,116,frequent,123.7,10,1
trace,exposure,117,frequent,250.2,95,1
trace,exposure,118,rare,300.5,27,1
trace,exposure,119,frequent,257.2,88,1
trace,test,0,rare,350.5,37,1
trace,test,1,frequent,531.9,46,1
trace,test,2,rare,275.3,26,1
trace,test,3,rare,317.2,30,1
trace,test,4,rare,282.8,28,1
trace,test,5,frequent,271.8,24,1
trace,test,6,rare,284.5,27,1
trace,test,7,rare,274.0,27,1
trace,test,8,rare,343.7,31,1
trace,test,9,rare,302.6,25,1
trace,test,10,rare,300.5,26,1
trace,test,11,rare,288.9,22,1
trace,test,12,rare,366.9,48,1
trace,test,13,rare,373.9,138,1
trace,test,14,rare,416.9,36,1
trace,test,15,rare,345.5,160,1
trace,test,16,rare,339.9,36,1
trace,test,17,rare,312.3,35,1
trace,test,18,rare,346.0,32,1
trace,test,19,rare,280.4,74,1
trace,test,20,rare,260.5,24,1
trace,test,21,rare,321.7,33,1
trace,test,22,rare,576.7,47,1
trace,test,23,rare,281.7,23,1
trace,test,24,rare,259.0,63,1
trace,test,25,frequent,353.0,52,1
trace,test,26,frequent,294.5,22,1
trace,test,27,rare,251.4,67,1
trace,test,28,rare,258.5,168,1
trace,test,29,rare,352.8,76,1
trace,test,30,rare,265.6,25,1
trace,test,31,rare,370.6,41,1
trace,test,32,rare,253.3,24,1
trace,test,33,rare,270.6,48,1
trace,test,34,rare,295.6,23,1
trace,test,35,frequent,270.6,82,1
trace,test,36,rare,350.4,40,1
trace,test,37,rare,260.4,24,1
trace,test,38,frequent,253.3,22,1
trace,test,39,rare,268.8,24,1
trace,test,40,rare,294.7,68,1
trace,test,41,rare,345.2,32,1
trace,test,42,frequent,386.7,44,1
trace,test,43,rare,273.8,26,1
trace,test,44,rare,264.4,25,1
trace,test,45,rare,336.9,32,1
trace,test,46,rare,273.3,20,1
trace,test,47,frequent,319.9,26,1
trace,test,48,rare,389.3,34,1
trace,test,49,rare,263.3,30,1
trace,test,50,rare,282.0,63,1
trace,test,51,rare,300.3,27,1
trace,test,52,rare,280.6,67,1
trace,test,53,rare,357.2,39,1
trace,test,54,frequent,343.5,91,1
trace,test,55,frequent,314.6,114,1
trace,test,56,rare,253.8,18,1
trace,test,57,rare,323.4,34,1
trace,test,58,rare,347.5,40,1
trace,test,59,frequent,313.1,54,1
trace,test,60,rare,250.1,40,1
trace,test,61,rare,273.8,71,1
trace,test,62,rare,275.3,22,1
trace,test,63,rare,254.8,39,1
trace,test,64,frequent,319.7,38,1
trace,test,65,rare,267.3,106,1
trace,test,66,rare,256.9,53,1
trace,test,67,frequent,369.6,37,1
trace,test,68,rare,325.1,139,1
trace,test,69,frequent,337.8,121,1
trace,test,70,rare,281.0,122,1
trace,test,71,rare,301.4,36,1
trace,test,72,rare,388.6,39,1
trace,test,73,frequent,305.8,88,1
trace,test,74,rare,263.3,33,1
trace,test,75,rare,275.4,51,1
trace,test,76,frequent,291.2,31,1
trace,test,77,rare,277.8,26,1
trace,test,78,rare,267.1,28,1
trace,test,79,rare,260.5,24,1
trace,exposure,0,rare,256.8,69,1
trace,exposure,1,frequent,340.1,76,1
trace,exposure,2,rare,300.4,64,1
trace,exposure,3,frequent,303.1,35,1
trace,exposure,4,frequent,281.4,57,1
trace,exposure,5,rare,291.8,73,1
trace,exposure,6,rare,295.3,46,1
trace,exposure,7,frequent,328.2,31,1
trace,exposure,8,frequent,258.9,20,1
trace,exposure,9,frequent,250.5,35,1
trace,exposure,10,frequent,315.6,50,1
trace,exposure,11,rare,510.7,94,1
trace,exposure,12,frequent,256.0,84,1
trace,exposure,13,frequent,294.7,42,1
trace,exposure,14,frequent,286.7,25,1
trace,exposure,15,frequent,257.6,181,1
trace,exposure,16,frequent,252.8,93,1
trace,exposure,17,frequent,39.4,1,1
trace,exposure,18,rare,291.9,23,1
trace,exposure,19,rare,274.3,34,1
trace,exposure,20,frequent,345.0,100,1
trace,exposure,21,rare,270.3,25,1
trace,exposure,22,frequent,265.1,54,1
trace,exposure,23,frequent,119.7,34,1
trace,exposure,24,rare,296.0,30,1
trace,exposure,25,frequent,262.9,125,1
trace,exposure,26,rare,301.2,93,1
trace,exposure,27,frequent,114.8,7,1
trace,exposure,28,rare,292.4,32,1
trace,exposure,29,frequent,270.8,31,1
trace,exposure,30,frequent,318.4,85,1
trace,exposure,31,frequent,274.0,103,1
trace,exposure,32,frequent,252.8,39,1
trace,exposure,33,rare,394.3,39,1
trace,exposure,34,frequent,100.0,6,1
trace,exposure,35,frequent,251.8,92,1
trace,exposure,36,rare,314.1,116,1
trace,exposure,37,frequent,80.4,4,1
trace,exposure,38,rare,280.1,26,1
trace,exposure,39,frequent,264.6,52,1
trace,exposure,40,frequent,251.5,50,1
trace,exposure,41,frequent,267.1,103,1
trace,exposure,42,rare,390.1,74,1
trace,exposure,43,frequent,251.2,27,1
trace,exposure,44,frequent,111.4,9,1
trace,exposure,45,frequent,77.6,15,1
trace,exposure,46,rare,265.3,29,1
trace,exposure,47,frequent,264.8,28,1
trace,exposure,48,frequent,56.5,3,1
trace,exposure,49,rare,292.3,28,1
trace,exposure,50,frequent,268.9,30,1
trace,exposure,51,frequent,365.3,66,1
trace,exposure,52,frequent,165.1,12,1
trace,exposure,53,rare,422.3,35,1
trace,exposure,54,frequent,324.6,58,1
trace,exposure,55,rare,322.3,55,1
trace,exposure,56,rare,358.1,36,1
trace,exposure,57,frequent,256.3,19,1
trace,exposure,58,rare,258.7,68,1
trace,exposure,59,frequent,21.4,1,1
trace,exposure,60,frequent,269.6,53,1
trace,exposure,61,frequent,267.3,53,1
trace,exposure,62,frequent,346.3,67,1
trace,exposure,63,frequent,218.1,34,1
trace,exposure,64,rare,320.4,37,1
trace,exposure,65,frequent,260.9,27,1
trace,exposure,66,frequent,251.4,49,1
trace,exposure,67,rare,275.4,27,1
trace,exposure,68,frequent,273.1,29,1
trace,exposure,69,rare,320.6,60,1
trace,exposure,70,rare,281.6,28,1
trace,exposure,71,frequent,250.5,35,1
trace,exposure,72,frequent,71.0,5,1
trace,exposure,73,frequent,303.5,65,1
trace,exposure,74,rare,405.7,54,1
trace,exposure,75,frequent,84.2,5,1
trace,exposure,76,rare,333.4,33,1
trace,exposure,77,frequent,266.3,25,1
trace,exposure,78,frequent,190.9,157,1
trace,exposure,79,frequent,262.2,89,1
trace,exposure,80,frequent,268.1,80,1
trace,exposure,81,rare,415.5,40,1
trace,exposure,82,rare,327.2,30,1
trace,exposure,83,frequent,368.4,80,1
trace,exposure,84,rare,265.1,82,1
trace,exposure,85,rare,256.5,36,1
trace,exposure,86,rare,326.3,108,1
trace,exposure,87,frequent,251.8,126,1
trace,exposure,88,frequent,281.4,29,1
trace,exposure,89,frequent,253.5,19,1
trace,exposure,90,frequent,251.0,132,1
trace,exposure,91,frequent,43.2,2,1
trace,exposure,92,frequent,347.0,67,1
trace,exposure,93,frequent,251.5,75,1
trace,exposure,94,rare,301.0,37,1
trace,exposure,95,frequent,276.2,19,1
trace,exposure,96,rare,340.0,55,1
trace,exposure,97,frequent,261.0,86,1
trace,exposure,98,frequent,253.6,99,1
trace,exposure,99,frequent,127.0,9,1
trace,exposure,100,frequent,252.6,83,1
trace,exposure,101,frequent,147.5,57,1
trace,exposure,102,frequent,358.2,29,1
trace,exposure,103,frequent,90.0,6,1
trace,exposure,104,frequent,32.6,1,1
trace,exposure,105,frequent,210.2,56,1
trace,exposure,106,frequent,30.0,1,1
trace,exposure,107,frequent,134.6,12,1
trace,exposure,108,frequent,204.6,114,1
trace,exposure,109,frequent,280.5,71,1
trace,exposure,110,frequent,112.1,34,1
trace,exposure,111,frequent,137.5,11,1
trace,exposure,112,frequent,133.9,76,1
trace,exposure,113,frequent,252.9,42,1
trace,exposure,114,rare,305.0,30,1
trace,exposure,115,rare,318.7,29,1
trace,exposure,116,frequent,287.4,100,1
trace,exposure,117,frequent,179.2,62,1
trace,exposure,118,frequent,109.3,54,1
trace,exposure,119,frequent,310.8,90,1
trace,test,0,rare,378.3,119,1
trace,test,1,frequent,258.5,34,1
trace,test,2,rare,406.2,54,1
trace,test,3,frequent,577.9,127,1
