arm,seed,trial,drift
fitted,101,30,-1.46000
fitted,101,31,0.64000
fitted,101,32,1.22000
fitted,101,33,1.48000
fitted,101,34,0.54000
fitted,101,35,2.88000
fitted,101,36,0.08000
fitted,101,37,2.44000
fitted,101,38,1.12000
fitted,101,39,2.12000
fitted,101,40,3.54000
fitted,101,41,2.32000
fitted,101,42,3.30000
fitted,101,43,2.30000
fitted,101,44,-0.48000
fitted,101,45,3.16000
fitted,101,46,2.56000
fitted,101,47,2.76000
fitted,101,48,2.58000
fitted,101,49,1.24000
fitted,101,50,2.50000
fitted,101,51,-0.88000
fitted,101,52,1.58000
fitted,101,53,1.04000
fitted,101,54,0.94000
fitted,101,55,0.82000
fitted,101,56,1.54000
fitted,101,57,1.08000
fitted,101,58,-0.04000
fitted,101,59,1.56000
fitted,101,60,1.86000
fitted,101,61,1.90000
fitted,101,62,1.56000
fitted,101,63,-0.04000
fitted,101,64,2.14000
fitted,101,65,-0.56000
fitted,101,66,1.10000
fitted,101,67,0.84000
fitted,101,68,1.72000
fitted,101,69,2.50000
fitted,101,70,1.78000
fitted,101,71,2.62000
fitted,101,72,2.38000
fitted,101,73,2.70000
fitted,101,74,3.20000
fitted,101,75,1.28000
fitted,101,76,-0.64000
fitted,101,77,1.60000
fitted,101,78,-1.58000
fitted,101,79,-0.16000
fitted,101,80,-0.82000
fitted,101,81,1.34000
fitted,101,82,-0.30000
fitted,101,83,2.84000
fitted,101,84,-0.08000
fitted,101,85,2.08000
fitted,101,86,1.24000
fitted,101,87,2.48000
fitted,101,88,0.44000
fitted,101,89,1.54000
fitted,101,90,0.60000
fitted,101,91,-0.70000
fitted,101,92,-0.22000
fitted,101,93,0.74000
fitted,101,94,1.80000
fitted,101,95,0.92000
fitted,101,96,-0.04000
fitted,101,97,1.26000
fitted,101,98,1.48000
fitted,101,99,0.62000
fitted,101,100,-0.42000
fitted,101,101,-0.72000
fitted,101,102,1.12000
fitted,101,103,0.10000
fitted,101,104,0.26000
fitted,101,105,-1.08000
fitted,101,106,-1.34000
fitted,101,107,-1.78000
fitted,101,108,-0.18000
fitted,101,109,-1.00000
