model,num_balls,speed_multiplier,seed,goals_per_min,collisions_per_min
transformer,10,4.0,60,68.5,5.5
transformer,10,4.0,61,65.0,0.5
transformer,20,1.0,42,33.5,0.0
transformer,20,1.0,43,41.5,2.5
transformer,20,1.0,44,46.0,2.0
transformer,20,1.0,45,25.5,4.0
transformer,20,1.0,46,36.5,0.0
transformer,20,1.0,47,39.0,0.0
transformer,20,1.0,48,35.0,0.5
transformer,20,1.0,49,29.5,0.0
transformer,20,1.0,50,35.5,0.0
transformer,20,1.0,51,35.5,0.0
transformer,20,1.0,52,31.0,3.5
transformer,20,1.0,53,34.0,1.0
transformer,20,1.0,54,28.5,0.0
transformer,20,1.0,55,39.5,0.0
transformer,20,1.0,56,31.5,0.5
transformer,20,1.0,57,40.0,0.0
transformer,20,1.0,58,31.0,3.0
transformer,20,1.0,59,34.0,0.0
transformer,20,1.0,60,41.0,0.5
transformer,20,1.0,61,30.5,0.0
transformer,30,1.0,42,17.0,3.5
transformer,30,1.0,43,22.0,0.0
transformer,30,1.0,44,19.5,4.0
transformer,30,1.0,45,18.5,1.0
transformer,30,1.0,46,22.0,11.5
transformer,30,1.0,47,24.0,1.5
transformer,30,1.0,48,32.5,0.5
transformer,30,1.0,49,25.0,4.5
transformer,30,1.0,50,23.0,3.5
transformer,30,1.0,51,21.5,3.0
transformer,30,1.0,52,23.0,2.0
transformer,30,1.0,53,25.0,1.0
transformer,30,1.0,54,19.0,1.5
transformer,30,1.0,55,26.0,4.0
transformer,30,1.0,56,19.0,9.5
transformer,30,1.0,57,21.5,0.5
transformer,30,1.0,58,16.5,2.0
transformer,30,1.0,59,25.5,1.0
transformer,30,1.0,60,24.5,8.0
transformer,30,1.0,61,23.5,6.5
transformer,40,1.0,42,13.0,4.0
transformer,40,1.0,43,20.5,15.0
transformer,40,1.0,44,17.5,23.0
transformer,40,1.0,45,14.0,7.5
transformer,40,1.0,46,16.5,6.0
transformer,40,1.0,47,15.0,15.0
transformer,40,1.0,48,12.0,10.5
transformer,40,1.0,49,15.0,9.5
transformer,40,1.0,50,11.5,5.5
transformer,40,1.0,51,15.5,8.5
transformer,40,1.0,52,18.5,12.5
transformer,40,1.0,53,14.0,9.0
transformer,40,1.0,54,12.0,0.0
transformer,40,1.0,55,12.0,6.5
transformer,40,1.0,56,16.0,13.0
transformer,40,1.0,57,20.0,12.5
transformer,40,1.0,58,12.5,1.5
transformer,40,1.0,59,17.5,6.5
transformer,40,1.0,60,18.5,4.0
transformer,40,1.0,61,16.0,1.5
transformer,50,1.0,42,10.0,21.0
transformer,50,1.0,43,8.0,32.5
transformer,50,1.0,44,9.5,12.5
transformer,50,1.0,45,11.5,5.0
transformer,50,1.0,46,13.5,17.0
transformer,50,1.0,47,8.0,9.0
transformer,50,1.0,48,8.5,20.0
transformer,50,1.0,49,5.0,17.5
transformer,50,1.0,50,6.5,20.0
transformer,50,1.0,51,8.5,12.0
transformer,50,1.0,52,14.5,12.5
transformer,50,1.0,53,11.5,16.0
transformer,50,1.0,54,9.5,4.5
transformer,50,1.0,55,9.0,12.0
transformer,50,1.0,56,9.5,21.5
transformer,50,1.0,57,11.0,23.0
transformer,50,1.0,58,8.0,22.0
transformer,50,1.0,59,8.5,14.0
transformer,50,1.0,60,11.5,14.0
transformer,50,1.0,61,12.0,23.0
